Title,Company,Experience,Salary,Location,Posted,Applications,Role,Employment_type,Education,Skills
Data Software Engineer,Selector Ai,5 - 8 years,Not Disclosed,Bengaluru, 10 days ago,22," Full Time, Permanent", Data Platform Engineer," 
UG: Any Graduate
PG: Any Postgraduate","SQL queries, Coding, GCP, Cloud, Presales, Workflow, Data analytics, Operations, AWS, Python"
Google Kubenates Engine Developer,Molecular Connections,4 - 6 years,Not Disclosed,Bengaluru, 5 days ago,99," Full Time, Permanent", Back End Developer," 
UG: Any Graduate
PG: Any Postgraduate","customer service orientation, customer service, bigquery, software development, as, hive, kubernetes, as400, sql, plsql, java, data science, gcp, spark, mysql, html, hadoop, big data, digital transformation, python, oracle, javascript, sql server, quality assurance, aws"
Software Engineer- Search & AI,Apple,5 - 10 years,Not Disclosed,Bengaluru, 30+ days ago,161," Full Time, Permanent", Full Stack Developer," 
UG: Any Graduate
PG: Any Postgraduate","Computer science, data science, Data modeling, GCP, Machine learning, Information retrieval, big data, AWS, Data warehousing, Enterprise software"
Full Stack Developer,Gemini Solutions,2 - 4 years,Not Disclosed,"Panchkula, Gurugram, Bengaluru", 5 days ago,1557," Full Time, Permanent", Full Stack Developer," 
UG: B.Tech/B.E. in Any Specialization, B.Sc in Any Specialization
PG: MCA in Any Specialization, M.Tech in Any Specialization, MS/M.Sc(Science) in Any Specialization
Doctorate: Doctorate Not Required","Full Stack Development, Azure, PostgreSQL, GitHub, Node.JS, Mongo DB, React, Angular, Google Cloud, MySQL, CI/CD, AWS, GitLab"
Full Stack Developer,Codvo,5 - 7 years,Not Disclosed,"Pune, Chennai, Bengaluru", 7 days ago,176," Full Time, Permanent", Full Stack Developer," 
UG: B.Tech/B.E. in Any Specialization, BCA in Any Specialization
PG: M.Tech in Any Specialization, MCA in Any Specialization
Doctorate: Doctorate Not Required","software engineering, Azure, PostgreSQL, Testing Frameworks, Jmeter, Node.js, React, SQL, NoSQL, Git, selenium, GCP, JavaScript, MongoDB, RESTful APIs, AWS, Python"
Full Stack Developer,Tekone It Services,4 - 6 years,Not Disclosed,Vijayawada, 5 days ago,180," Full Time, Permanent", Full Stack Developer," 
UG: B.Tech/B.E. in Any Specialization
PG: Any Postgraduate","AWS, Java, NoSQL, GCP, Node.js, React.js, Angular, SQL"
Full-Stack Developer,Pvalue Solutions,3 - 7 years,Not Disclosed,Bengaluru, 7 days ago,141," Full Time, Permanent", Full Stack Developer," 
UG: Any Graduate
PG: Any Postgraduate","css, bitbucket, react.js, java, git, ruby rails, postgresql, gcp, software development methodologies, html, mysql, mongodb, programming, communication skills, database management system, python, github, microsoft azure, ruby, angular, node.js, django, scrum, agile, aws"
Fullstack Developer,Nuvento Systems,3 - 8 years,Not Disclosed,"Hyderabad, Navi Mumbai", 13 days ago,702," Full Time, Temporary/Contractual", Full Stack Developer," 
UG: B.Tech/B.E. in Any Specialization",".Net Core, Cloud, React.Js, Microservices, Rest Web Api, Azure, GCP, DotNet Core, AWS"
Fullstack Developer,Bitpastel,0 - 3 years,Not Disclosed,Kolkata, 10 days ago,1821," Full Time, Permanent", Full Stack Developer," 
UG: Any Graduate","PHP, Node.Js, Python, GCP, Azure Cloud, Microsoft Azure, AWS"
Fullstack Developer,Uplers,3 - 6 years,Not Disclosed,"Thane, Mumbai (All Areas)", 12 days ago,337," Full Time, Permanent", Full Stack Developer," 
UG: Any Graduate","Node Js, React Js, Python, Python/Golang, GCP, Cloud Platform, Ruby, AWS, Elixir, React / Golang"
Full Stack Developer,Codvo,4 - 6 years,Not Disclosed,"Mumbai, Delhi / NCR, Bengaluru", 7 days ago,637," Full Time, Permanent", Full Stack Developer," 
UG: B.Tech/B.E. in Any Specialization
PG: MS/M.Sc(Science) in Any Specialization, MCA in Any Specialization
Doctorate: Doctorate Not Required","PostgreSQL, Node.js, react, Prisma, NestJS, TypeScript, API development, GCP, GraphQL, backend development, AWS"
Product Engineer (Full Stack Developer),Qualzee Consultancy,3 - 5 years,Not Disclosed,"Indore, Bengaluru", 11 days ago,382," Full Time, Permanent", Full Stack Developer," 
UG: Any Graduate
PG: Any Postgraduate
Doctorate: Doctorate Not Required","Product Engineering, SaaS platforms, Software development lifecycle, PostgreSQL, GraphQL, UI/UX principles, Node.js, Express.js, Google Cloud, MySQL, CI/CD, MongoDB, React.js, RESTful APIs, AWS"
Full Stack Developer,Insight Global Technologies,2 - 7 years,Not Disclosed,Bengaluru, 13 days ago,1392," Full Time, Temporary/Contractual", Full Stack Developer," 
UG: Any Graduate","GCP, Golang, Java, Cloud Migration, React.Js, AWS, NodeJS"
Flask Developer 36 Lakhs CTC || Kandi Srinivasa,Integra Technologies,8 - 11 years,35-37.5 Lacs P.A.,"Kolkata, Ahmedabad, Bengaluru", 3 days ago,103," Full Time, Permanent", Software Development - Other," 
UG: Any Graduate
PG: Any Postgraduate","Flask, Python, Django, Pandas, Tensorflow, Spark Mllib, JIRA, Jupyter Notebook, Scikit-Learn, Docker, Confluence, Microsoft Azure, AWS, Matplotlib, Github, Numpy, SQL, Jenkins, Nltk, GIT, GCP, Cloud, Bitbucket, Seaborn, Kubernetes"
AI Software Engineer,Avkalan.ai,5 - 10 years,Not Disclosed,Pune( Kharadi ), 6 days ago,104," Full Time, Permanent", Data Science & Machine Learning - Other," 
UG: B.Tech/B.E. in Computers","Machine Learning, AWS, Ci Cd Pipeline, MLOps, Azure Devops, Tensorflow, Data Engineering, Devops, Scikit-Learn, Docker, Terraform, Bigdata Frameworks, Image Processing, Python, Jenkins, Pytorch, GIT, Opencv, GCP, Ansible, API, OpenAI, Databases Postgres, React.Js, ETL, Kubernetes"
ERPNext Developer,Safe Ledger,3 - 5 years,Not Disclosed,"Gurugram, Gurugram", 5 days ago,95," Full Time, Permanent", Full Stack Developer," 
UG: B.Tech/B.E. in Any Specialization
PG: Any Postgraduate","python, erp consulting, mariadb, database design, mysql, nextjs, kubernetes, rest, erp, linux server, microsoft azure, vue.js, javascript, jquery, sales, docker, react.js, software development life cycle, gcp, procurement, aws, sdlc, crm, agile methodology"
Datadog New Relic Developer,Wipro,6 - 8 years,Not Disclosed,Bengaluru, 6 days ago,24," Full Time, Permanent", Automation Developer," 
UG: B.Tech/B.E. in Any Specialization
PG: Any Postgraduate","New Relic, Datadog, Java, Azure, GCP, CI/CD, .NET, Node.js, Bash, AWS, Kubernetes, Python"
SW Engineer III,NCR Corporation,3 - 6 years,Not Disclosed,Hyderabad, 6 days ago,118," Full Time, Permanent", Full Stack Developer," 
UG: B.Tech/B.E. in Any Specialization
PG: Any Postgraduate","software design, spring, java, javascript, software design and development, continuous integration, css, jsp, ci/cd, hibernate, sql, docker, react.js, git, gcp, paas, html, jpa, mvc framework, junit, rdbms, oracle, svn, spring boot framework, angular, servlets, iaas, aws"
Spinnaker Developer,Mapping Metrics,4 - 7 years,Not Disclosed,Pune, 6 days ago,136," Full Time, Permanent", Automation Developer," 
UG: B.Tech/B.E. in Any Specialization
PG: Any Postgraduate","continuous integration, ci/cd, cd tools, ci / cd tools, release engineering, kubernetes, c++, golang, sql, docker, ansible, java, git, gcp, xml, devops, linux, jenkins, python, c, oracle, microsoft azure, javascript, sql server, angular, troubleshooting, terraform, aws"
Software Engineer,TransUnion,4 - 8 years,Not Disclosed,Hyderabad, 7 days ago,492," Full Time, Permanent", Back End Developer," 
UG: Any Graduate","Java Spring Boot, Spark, Microservices, SQL, GCP, AWS"
Software Engineer (Go/Golang & Microservices),NetApp,4 - 8 years,Not Disclosed,Bengaluru, 7 days ago,45," Full Time, Permanent", Data Platform Engineer," 
UG: Any Graduate
PG: Any Postgraduate","kubernetes, auto scaling, gcp, linux, microsoft azure, control plane, aws"
Developer - L4,Wipro,5 - 8 years,Not Disclosed,Bengaluru, 3 days ago,41," Full Time, Permanent", Back End Developer," 
UG: B.Tech/B.E. in Any Specialization
PG: Any Postgraduate","python, data analysis, cloud development, presentation skills, sql, algorithms, github, css, natural language processing, microsoft azure, software project, artificial intelligence, javascript, deep learning, java, gcp, pytorch, html, aws, digital transformation, ml"
Software Engineer - Career,Equifax Credit Information Services Private Limited,5 - 9 years,Not Disclosed,Pune, 6 days ago,25," Full Time, Permanent", Blockchain Quality Assurance Engineer," 
UG: Any Graduate
PG: Any Postgraduate","kubernetes, continuous integration, css, ci/cd, cloud technologies, microservices, java, gcp, writing, design, jenkins, j2ee, debugging, software engineering, html, typescript, github, microsoft azure, glm, javascript, gradle, spring boot, troubleshooting, aws, data flow"
Data Consultant,Capgemini,8 - 12 years,Not Disclosed,Bengaluru, Few Hours Ago, Less than 10," Full Time, Permanent", Analytics Consultant," 
UG: Any Graduate
PG: Any Postgraduate","data analytics, analytics tool, channel marketing, marketing automation, marketing, digital marketing, python, data analysis, power bi, microsoft azure, adobe, cloud platforms, omni, cdp, sql, salesforce, tableau, r, data modeling, campaigns, data science, gcp, aws"
Fullstack Developer,Mohjay Infotech,2 - 5 years,4-6 Lacs P.A.,"Indore, Lucknow, Jaipur", 26 days ago,710," Full Time, Permanent", Full Stack Developer," 
UG: B.Tech/B.E. in Any Specialization","Full Stack, Node.Js, Fullstack Development, React.Js, Python, Angularjs, CSS, Ember.Js, HTML, Angular, Azure Cloud, Django, MySQL, Javascript, Google Cloud Platforms, Ruby, AWS"
Exciting Fullstack Developer Opportunity at Intraedge Technology,IntraEdge Technology,5 - 10 years,Not Disclosed,Chennai, 30+ days ago,85," Full Time, Permanent", Full Stack Developer," 
UG: Any Graduate","Java, Restful api, Microservices, React.Js, Springboot, Hibernate, Devops, sql, Docker, Typescript, Database, Public Cloud, AWS/Azure/GCP, Kubernetes"
Fullstack Developer,Infosys,3 - 7 years,Not Disclosed,Bengaluru, 25 days ago,163," Full Time, Permanent", Full Stack Developer," 
UG: B.Tech/B.E. in Production/Industrial
PG: Any Postgraduate","react.js, java, spring boot, kafka, .net, fullstack development, css, microsoft technologies, jquery, microservices, sql, spring, apache, active directory, linux, html, c#, rest, asp.net mvc, data analytics, server management, vmware, angular, .net core, full stack, aws"
Full Stack Developer,Tech Stalwart Solution,0 - 3 years,Not Disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru", 30+ days ago,14231," Full Time, Permanent", Software Development - Other," 
UG: Any Graduate
PG: Any Postgraduate","continuous integration, css, ci/cd, vue.js, bitbucket, react.js, git, java, postgresql, gcp, devops, debugging, html, mysql, graphql, mongodb, agile methodology, c#, rest, cd, github, python, react native, javascript, nosql, ruby, angular, node.js, flutter, php, .net, agile, aws"
Full Stack Developer with AI Focus,Telic Info Services,3 - 5 years,Not Disclosed,Hiring office located in Chennai, 24 days ago,537," Full Time, Permanent", Full Stack Developer," 
UG: B.Tech/B.E. in Computers","Node.Js, Cursor, Fullstack Development, GCP, React.Js, Angularjs, Postgresql, Database Design, Java Fullstack, Html/Css, Vue.Js, NoSQL, MongoDB, AWS, Python, Javascript And Jquery"
Full Stack Developer,Ascon Infrastrucutre,10 - 12 years,8-9 Lacs P.A.,Kolkata, 19 days ago,39," Full Time, Permanent", Software Developer in Test (SDET)," 
PG: M.Tech","Full Stack Developer, PostgreSQL, Kafka, Spring Boot, Next.js, Angular, REST API, GitHub Actions, Docker, Microservices Architecture, React.js, AWS, Full Stack Development, Java, JWT, GraphQL, Redis, Node.js, OAuth, Jenkins, DevOps, GCP, CI/CD, MongoDB, Pub/Sub, Kubernetes"
Looking forJava Full Stack Developers with Cloud Experience!,Getronics,4 - 9 years,Not Disclosed,Chennai, 20 days ago,653," Full Time, Permanent", Full Stack Developer," 
UG: Any Graduate","Java, GCP, Spring, Microservices, Springboot Java, angular, Pcf, Spring Boot, React.Js, AWS, azure"
Fullstack Developer - ReactJS / NodeJS,Melvault Software Solutions,3 - 8 years,Not Disclosed,Hyderabad, 30+ days ago,492," Full Time, Permanent", Front End Developer," 
UG: Any Graduate
PG: Any Postgraduate","rest, kubernetes, continuous integration, cd, frontend development, fullstack development, web application, mocha, ci/cd, microsoft azure, backend development, jsx, docker, react.js, coding, node.js, postgresql, gcp, devops, jenkins, software solutions, aws, mongodb"
Fullstack Developer,Digital Avenues,3 - 8 years,Not Disclosed,Hiring office located in Kolkata, 24 days ago,1614," Full Time, Permanent", Full Stack Developer," 
UG: Any Graduate","Node.Js, pgsql, Typescript, Javascript, React.Js, Angularjs, CSS, HTML, Html5B, JQuery, SQL, Javascript Frameworks, Css/Css3, GIT, GCP, Bootstrap, AWS, Javascript And Jquery"
Full Stack Developer,Yotta Techports,4 - 8 years,12-18 Lacs P.A.,Hyderabad( Kondapur ), 25 days ago,674," Full Time, Permanent", Full Stack Developer," 
UG: B.Tech/B.E. in Any Specialization
PG: M.Tech in Any Specialization","AngularJS, Azure, Database Design, AWS, ExpressJS, Node.js., Front End Technologies, Google Cloud, Backend Development, Mern Stack, Mean Stack, Fullstack Development, MongoDB, React.Js"
Fullstack Developer,Avidion Softwares,2 - 5 years,Not Disclosed,Gurugram, 30 days ago,1767," Full Time, Permanent", Full Stack Developer," 
UG: B.Tech/B.E. in Information Technology, Computers","Javascript, Python, Ai Solutions, Fullstack Development, Rest Api Development, Spring Boot, Node.Js, Angular, Front End, Azure Cloud, MySQL, Bootstrap, Flutter, AWS, Nestjs, Webgl, Java, Websocket, Postgresql, Three.Js, Google Cloud Services, Backend, Django, MongoDB, React Native, React.Js"
Full Stack Developer (ReactJS/NodeJS),Next Leap Innovtions,6 - 12 years,Not Disclosed,Hyderabad, 30+ days ago,61," Full Time, Permanent", Full Stack Developer," 
UG: Any Graduate
PG: Any Postgraduate","Backend, Front end, GCP, Consulting, MySQL, Javascript, Manager Technology, AWS, Software services, Python"
Full Stack Developer,Eximietas Design,3 - 7 years,Not Disclosed,"Bhubaneswar, Bengaluru", 30+ days ago,237," Full Time, Permanent", Software Development - Other," 
UG: Any Graduate
PG: Any Postgraduate","rest, continuous integration, cd, css, fullstack development, web application, ci/cd, microsoft azure, bootstrap, javascript, microservices, docker, react.js, node, node.js, postgresql, gcp, devops, full stack, html, aws, mongodb, communication skills, agile methodology"
Full Stack Developer,Tekone It Services,2 - 7 years,Not Disclosed,Vijayawada, 30+ days ago,348," Full Time, Permanent", Back End Developer," 
UG: Any Graduate
PG: Any Postgraduate","Backend, NoSQL, Front end, Web technologies, Scalability, GCP, Cloud Services, Javascript, AWS, SQL"
Full Stack Developer,Brunel,7 - 10 years,Not Disclosed,Bengaluru, 27 days ago, Less than 10," Full Time, Permanent", Software Development - Other," 
UG: Any Graduate
PG: Any Postgraduate","Backend, Data analysis, Automation, Programming, Data analytics, Apache, Load balancing, AWS, Python, microservices"
Full Stack Developer,Highpoints Technologies India,3 - 6 years,Not Disclosed,Bengaluru, 30+ days ago,107," Full Time, Permanent", Software Development - Other," 
UG: Any Graduate
PG: Any Postgraduate","Software design, Web technologies, GCP, TDD, devops, Javascript, test driven development, AWS, SDLC, Python"
Full Stack Developer,Xpressbees,2 - 8 years,Not Disclosed,Pune, 30+ days ago,1864," Full Time, Permanent", Full Stack Developer," 
UG: Any Graduate
PG: Any Postgraduate","System architecture, GIT, Version control, RDBMS, GCP, Cloud Services, Time management, test driven development, AWS, SQL"
Remote Clojure Developer 36 Lakhs CTC || Kandi Srinivasa Reddy,Integra Technologies,8 - 11 years,35-37.5 Lacs P.A.,"Kolkata, Ahmedabad, Bengaluru", 10 days ago,39," Full Time, Permanent", Software Development - Other," 
UG: Any Graduate
PG: Any Postgraduate","Kafka, Clojurescript, Clojure, Java, Rocksdb, Couchbase, Couchdb, Cassandra, Amazon Simpledb, NoSQL, Arangodb, Typescript, Aerospike, Nosql Mongo, Javascript, Microsoft Azure, AWS, Ravendb, Apache Hbase, Postgresql, Riak, Redis, Couchbase Db, HBase, Neo4J, GCP, Scylla, Document Db, MongoDB, Elastic Search"
Looking For Apigee Developer @ Hyderabad Location,HCLTech,5 - 10 years,Not Disclosed,Hyderabad( HITEC City ), 9 days ago,118," Full Time, Permanent", Back End Developer," 
UG: Any Graduate","Hybrid, Apigee Developer, OAuth, Javascript, API, Github, JWT, OKTA, GCP, Auth, Swagger, CI/CD, mTLS, AWS, Kubernetes"
Developer - L4,Wipro,5 - 8 years,Not Disclosed,Bengaluru, 10 days ago,105," Full Time, Permanent", Back End Developer," 
UG: B.Tech/B.E. in Any Specialization
PG: Any Postgraduate","artificial intelligence, sql, python, data analysis, aws, hlookup, css, vlookup, jquery, deep learning, java, gcp, pytorch, html, cloud computing, digital transformation, ml, c#, github, sumif, microsoft azure, pivot table, software project, javascript, as, .net, countif"
LLM Developer,Neura Monks,2 - 4 years,Not Disclosed,"Ahmedabad, Gota", 11 days ago,352," Full Time, Permanent", Full Stack Developer," 
UG: Any Graduate
PG: LLM in Law, Any Postgraduate
Doctorate: Doctorate Not Required","Open source APIs, LLMs, RAG, S3, Azure, Langchain, Faiss, AWS services, LLM, Google Cloud, Prompt Engineering, PyTorch, Glue, Chroma, EC2, Vector Database, MongoDB, Lambda, LlamaIndex, TensorFlow"
Software Engineer,Capgemini,2 - 5 years,Not Disclosed,Mumbai, 14 days ago,624," Full Time, Permanent", Search Engineer," 
UG: B.Tech/B.E. in Any Specialization
PG: Any Postgraduate","maven, spring boot, java, git, data structures, annotation, continuous integration, rest, junit, cloud services, sql queries, version control, unit testing, ci/cd, microsoft azure, cloud platforms, relational databases, pom, microservices, sql, spring, gcp, oops, aws"
Telematics Software / GPS Engineer,VMAX India,12 - 14 years,Not Disclosed,Hyderabad( Gachibowli ), 14 days ago,55," Full Time, Permanent", Product Engineer," 
UG: B.Tech/B.E. in Any Specialization
PG: M.Tech in Electronics/Telecommunication","GPS Tracking, Automotive, Microservices Architecture, RESTful APIs, Telematics Software Development, CI/CD Pipelines, Vehicle Diagnostics, PostgreSQL / MongoDB, Python / Java / C++, Kafka / MQTT, Real-time Data Processing, ADAS Systems, AWS / Azure / GCP, IoT Protocols"
S&C Global Network - AI - CG&S - Data Engineer Consultant,Accenture,3 - 7 years,Not Disclosed,"Gurugram, Bengaluru", 7 days ago,93," Full Time, Permanent", Data Engineer," 
UG: Any Graduate
PG: LLM in Law, Any Postgraduate","python, pyspark, cloud platforms, data engineering, sql, kubernetes, snowflake, data analysis, data analytics, microsoft azure, machine learning, apache flink, docker, data science, gcp, kafka, machine learning algorithms, aws, etl, etl scripts"
S&C Global Network - AI - CG&S - Data Engineer Consultant,Accenture,3 - 7 years,Not Disclosed,Bengaluru, 7 days ago,57," Full Time, Permanent", Data Engineer," 
UG: B.Tech/B.E. in Any Specialization
PG: MS/M.Sc(Science) in Any Specialization, LLM in Any Specialization","python, pyspark, cloud platforms, data engineering, sql, kubernetes, snowflake, data analysis, data analytics, microsoft azure, machine learning, apache flink, docker, data science, gcp, kafka, machine learning algorithms, aws, etl, etl scripts"
S&C Global Network - AI - CG&S - Data Engineer Consultant,Accenture,3 - 7 years,Not Disclosed,Bengaluru, 7 days ago,63," Full Time, Permanent", Data Engineer," 
UG: Any Graduate
PG: Any Postgraduate, LLM in Law","python, pyspark, cloud platforms, data engineering, sql, kubernetes, snowflake, data analysis, data analytics, microsoft azure, machine learning, apache flink, docker, pipeline, data science, gcp, kafka, machine learning algorithms, aws, etl, etl scripts"
Pune || AI - ML Engineer,Globallogic,5 - 10 years,Not Disclosed,Pune, 3 days ago,390," Full Time, Permanent", Machine Learning Engineer," 
PG: Any Postgraduate","kubernetes, algorithms, python, c++, data analytics, data, natural language processing, microsoft azure, aiml, machine learning, artificial intelligence, docker, evaluation, deep learning, tensorflow, data science, gcp, computer vision, pytorch, keras, model development, aws, ml, deployment"
Fullstack Developer,Rajan Gupta,5 - 9 years,Not Disclosed,Hyderabad, 30+ days ago,134," Full Time, Permanent", Full Stack Developer," 
UG: Any Graduate",".Net, React.Js, C#, GCP, AWS"
Fullstack Developer,Rajan Gupta,5 - 10 years,Not Disclosed,"Vijayawada, Srisailam, Hyderabad", 30+ days ago,160," Full Time, Permanent", Full Stack Developer," 
UG: Any Graduate","Fullstack Development, C#, Java, GCP, .Net, React.Js, AWS"
Remote Julia Developer 36 Lakhs CTC || Kandi Srinivasa,Integra Technologies,8 - 11 years,35-37.5 Lacs P.A.,"Kolkata, Ahmedabad, Bengaluru", 21 days ago,95," Full Time, Permanent", Software Development - Other," 
UG: Any Graduate
PG: Any Postgraduate","Ruby, Python, Rust, Julia, GCP, Golang, Real Time Pcr, Scalability, Ruby Rails, Scratch, Low Latency, SCALA, AWS, Java, C++, System Design, Data Structures, Robust, Problem Solving, Scale, Distribution System, Algorithms, Ror, Scaling, Distributed Computing, Reliability, Fault Tolerance"
Remote Clojure Developer 36 Lakhs CTC || Kandi Srinivasa,Integra Technologies,8 - 11 years,35-37.5 Lacs P.A.,"Kolkata, Ahmedabad, Bengaluru", 24 days ago,79," Full Time, Permanent", Software Development - Other," 
UG: Any Graduate
PG: Any Postgraduate","MySQL, Javascript, Clojurescript, Clojure, Java, Rocksdb, Couchbase, Couchdb, Cassandra, Amazon Simpledb, Orientdb, NoSQL, Arangodb, Typescript, Aerospike, Mango Db, Microsoft Azure, AWS, Python, Postgresql, Riak, Redis, HBase, Neo4J, GCP, Scylla, Dynamo Db, MongoDB, Nosql Databases, Elastic Search"
Software Engineer,AMMACHI Labs,1 - 6 years,Not Disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru", 30+ days ago,23604," Full Time, Permanent", Software Development - Other," 
UG: Any Graduate
PG: Any Postgraduate","python, software development, pytest, unit testing, microsoft azure, react native, software development life cycle, flutter, django, git, gcp, devops, writing, debugging, web development, software engineering, flask, aws, sdlc, communication skills"
CHATBOT DEVELOPER 6 To 12 YEARS,Capgemini,6 - 11 years,Not Disclosed,Bengaluru, 24 days ago,67," Full Time, Permanent", Full Stack Developer," 
UG: B.Tech/B.E. in Any Specialization
PG: Any Postgraduate","gcp, python, microsoft azure, cloud platforms, aws, css, bootstrap, jquery, sql, docker, iot, java, git, devops, asp.net, linux, jenkins, html, mysql, api, c#, chatbot, javascript, sql server, angular, node.js, .net, agile, engineering services"
Developer,Wipro,7 - 10 years,Not Disclosed,Hyderabad, 26 days ago,162," Full Time, Permanent", Data warehouse Developer," 
UG: B.Tech/B.E. in Any Specialization
PG: Any Postgraduate","java, mongodb, kotlin, spring boot, kafka, continuous integration, kubernetes, docker, ansible, spring, git, gcp, aws cloud, spark, devops, jenkins, mysql, hadoop, big data, ml, python, software testing, nginx, dns, microsoft azure, azure cloud, cassandra, aws, gcp cloud"
Developer - L4,Wipro,7 - 11 years,Not Disclosed,Hyderabad, 26 days ago,138," Full Time, Permanent", Full Stack Developer," 
UG: B.Tech/B.E. in Any Specialization
PG: Any Postgraduate","kotlin, spring boot, kafka, mongodb, gcp cloud, continuous integration, kubernetes, python, software development, software testing, test cases, microsoft azure, progress 4gl, docker, spring, java, gcp, aws cloud, mis, devops, jenkins, mysql, aws, digital transformation"
CMDB Developer,Capgemini,7 - 12 years,Not Disclosed,Bengaluru, 30+ days ago,33," Full Time, Permanent", Data warehouse Developer," 
UG: B.Tech/B.E. in Any Specialization
PG: Any Postgraduate","cmdb, itsm, itil processes, itom, scripting languages, rest, python, it asset management, servicenow discovery, solarwinds, microsoft azure, javascript, sccm, sql, nosql, configuration management, servicenow, data modeling, gcp, powershell, tanium, aws, soap, itil"
Software Engineer,Striim Engineering Services,1 - 5 years,Not Disclosed,Bengaluru, 30+ days ago,345," Full Time, Permanent", Blockchain Quality Assurance Engineer," 
UG: Any Graduate
PG: Any Postgraduate","python, java, gcp, golang, aws, object oriented languages, agile software, microservices"
DevSecOps Developer,Clifyx Technology,5 - 7 years,Not Disclosed,Bengaluru, 30+ days ago,207," Full Time, Permanent", Software Development - Other," 
UG: Any Graduate
PG: Any Postgraduate","Automation, telecom infrastructure, GCP, telco, devops, Shell scripting, Cloud, jenkins, AWS, Python"
Software Engineer (Go/Golang & Microservices),NetApp,5 - 8 years,Not Disclosed,Bengaluru, 25 days ago,354," Full Time, Permanent", Data Platform Engineer," 
UG: Any Graduate
PG: Any Postgraduate","kubernetes, auto scaling, python, orchestration, microsoft azure, control plane, machine learning, artificial intelligence, nosql, containerization, tensorflow, gcp, spark, cassandra, computer architecture, linux, pytorch, keras, data structures, hadoop, aws, big data, flask, programming"
Software Engineer - Data,Qube Research Technologies,0 - 3 years,Not Disclosed,Mumbai, 30+ days ago,590," Full Time, Permanent", Software Development - Other," 
UG: Any Graduate
PG: Any Postgraduate","Data research, Architecture, GCP, Debugging, Cloud, Research, AWS, Financial services, SQL, Testing"
Shopware Developer,Connect Infosoft Technologies Pvt.Ltd.,3 - 4 years,Not Disclosed,Faridabad, 30+ days ago,268," Full Time, Permanent", Software Development - Other," 
UG: Any Graduate
PG: Any Postgraduate","css, c++, plugins, ms dynamics crm, bootstrap, scalability, jquery, sql, react.js, java, gcp, devops, xml, asp.net, html, mysql, data structures, c#, python, software testing, javascript, sql server, web technologies, php, troubleshooting, .net, aws"
Data Scientist - SQL/Python,Leading Client,5 - 10 years,Not Disclosed,"Mumbai, Delhi / NCR, Bengaluru", 11 days ago,545," Full Time, Permanent", Data Scientist," 
UG: B.Tech/B.E. in Any Specialization
PG: Any Postgraduate
Doctorate: Doctorate Not Required","SQL, Data Science, Data Validation, Data Quality, Azure, GCP, Data Scientist, Jupyter, Data Analytics, AWS, Python"
Pune || AI ML - Technical Lead,Globallogic,10 - 15 years,Not Disclosed,Pune, 11 days ago,256," Full Time, Permanent", Technical Lead," 
PG: Any Postgraduate","kubernetes, scikit-learn, scala, numpy, artificial intelligence, docker, sql, tensorflow, data science, spark, gcp, jenkins, pytorch, hadoop, bigquery, cloud computing, mongodb, programming, ml, python, github, data analytics, microsoft azure, aiml, nosql, pandas, r, lambda expressions, cassandra, aws"
SeniorGolang Developer,Hostbooks,3 - 7 years,Not Disclosed,Gurugram( Udyog Vihar Phase 4 ), 18 days ago,134," Full Time, Permanent", Back End Developer," 
UG: B.Tech/B.E. in Any Specialization, Any Graduate, B.Sc in Any Specialization","Golang, Rest, Postgresql, Kafka, Grpc, NAT, Docker, GCP, MongoDB, AWS, Kubernetes"
Senior/Principal Biostatistician,Avance Clinical,7 - 10 years,Not Disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru", 30+ days ago,50," Full Time, Permanent", Statistician," 
UG: Any Graduate
PG: Any Postgraduate","python, data analysis, data analytics, sas, natural language processing, microsoft azure, business analysis, business development, analysis, machine learning, sql, docker, excel, r, tableau, java, data science, gcp, predictive modeling, aws, statistics"
Head of Data,Matter Motors,14 - 23 years,Not Disclosed,"Pune, Ahmedabad", 19 days ago,429," Full Time, Permanent", Head - Analytics / BI," 
UG: Any Graduate","Data, Industry 4.0, Data Architecture, IOT, Data Science, Data Engineering, Azure Aws, GCP, Cloud Platform, Data Analytics, AWS"
AI Data Engineer,"NTT DATA, Inc.",1 - 4 years,Not Disclosed,Bengaluru, 25 days ago,3049," Full Time, Permanent", Data Engineer," 
UG: Any Graduate
PG: Any Postgraduate","python, machine learning, data engineering, deep learning, machine learning algorithms, hive, algorithms, data analytics, data analysis, dl, pyspark, microsoft azure, aiml, sql, tableau, data science, spark, gcp, linux, mysql, hadoop, data visualization, big data, aws"
Director-Machine Learning Engineering,Warner Bros. Discovery,8 - 13 years,Not Disclosed,Bengaluru, 26 days ago,70," Full Time, Permanent", Database Architect / Designer," 
UG: B.Tech/B.E. in Any Specialization
PG: Any Postgraduate","machine learning, deep learning, data science, gcp, aws, algorithms, python, c++, data analysis, c, data analytics, natural language processing, aiml, data collection, artificial intelligence, sql, r, java, computer science, recruitment, computer vision, ml"
