Title,Company,Experience,Salary,Location,Posted,Applications,Role,Employment_type,Education,Skills
Data Platform Engineer,Accenture,3 - 8 years,Not Disclosed,Chennai, 1 day ago, Less than 10," Full Time, Permanent", Data Engineer," 
UG: Any Graduate
PG: Any Postgraduate","data analytics, blueprint, data bricks, data modeling, data integration, hive, python, data warehousing, business analysis, microsoft azure, power bi, data architecture, machine learning, business intelligence, sql, java, spark, hadoop, agile, big data, etl, aws, jira"
Data Engineer,Accenture,5 - 10 years,Not Disclosed,Chennai, 1 day ago, Less than 10," Full Time, Permanent", Data Engineer," 
UG: Any Graduate
PG: Any Postgraduate","data analytics, microsoft azure, sql, data bricks, data architecture principles, hive, python, data processing, data integrity, data architecture, data migration, data engineering, data quality, spark, hadoop, etl, aws, business operations, big data, etl process"
Data Engineer,Accenture,7 - 12 years,Not Disclosed,Chennai, 1 day ago, Less than 10," Full Time, Permanent", Data Engineer," 
UG: Any Graduate
PG: Any Postgraduate","data analytics, microsoft azure, sql, database management, data architecture principles, hive, python, pyspark, data warehousing, data architecture, data migration, data engineering, data bricks, data quality, spark, hadoop, etl, aws, big data, data flow, etl process"
MLOps + DevOps Engineer,Innova AM Tech,6 - 11 years,Not Disclosed,"Noida, Gurugram, Delhi / NCR", 1 day ago,87," Full Time, Permanent", DevOps Engineer," 
UG: B.Tech/B.E. in Any Specialization
PG: MS/M.Sc(Science) in Any Specialization
Doctorate: Doctorate Not Required","DevOps, MLOps, Azure, Generative AI, PyTorch, Docker, Terraform, Bicep, GCP, CI/CD, AWS, Kubernetes, TensorFlow"
Senior Data Scientist - GenAI,Relanto,3 - 8 years,Not Disclosed,Bengaluru, Few Hours Ago, Less than 10," Full Time, Permanent", Data Scientist," 
UG: Any Graduate
PG: Any Postgraduate","Training, deep learning, GCP, Machine learning, Cloud, Deployment, Transformers, AWS, Cost, Python"
Lead Snowflake Developer,Relanto,6 - 11 years,Not Disclosed,Bengaluru, Few Hours Ago, Less than 10," Full Time, Permanent", Data Platform Engineer," 
UG: Any Graduate
PG: Any Postgraduate","metadata, data services, data science, GCP, Cloud, Data quality, Continuous improvement, Information technology, Data architecture"
Gen AI Consultant,Evnek,1 - 3 years,Not Disclosed,Bengaluru, Few Hours Ago,12," Full Time, Permanent", Data Science & Analytics - Other," 
UG: Any Graduate
PG: Any Postgraduate","Computer science, Analytical skills, Performance tuning, Prototype, data science, GCP, Consulting, Machine learning, SDK, Python"
Strategic AI Advisor,Bosch Rexroth India,1 - 4 years,Not Disclosed,"Hosur, Bengaluru", 1 day ago,11," Full Time, Permanent", Data Science & Analytics - Other," 
UG: Any Graduate
PG: MBA/PGDM in Marketing, Any Postgraduate","Computer science, data science, Product service, GCP, Analytical, Natural language processing, Business strategy, Stakeholder management, Operations, Business operations"
Data Analytics Expert with Visualization Expertise,Bosch Rexroth India,5 - 7 years,Not Disclosed,Coimbatore, 1 day ago,19," Full Time, Permanent", Analytics Consultant," 
UG: Any Graduate
PG: Any Postgraduate","Computer science, Data analysis, tableau, data science, Data modeling, Business analytics, Analytical, power bi, data visualization, SQL"
"Java Spring Boot Developer With AWS, Salary 6lpa",India's Leading IT Service Provider.,2 - 6 years,6-6.5 Lacs P.A.,"Hyderabad, Pune, Bengaluru", 1 day ago,361," Full Time, Permanent", Full Stack Developer," 
UG: BCA in Any Specialization, B.Tech/B.E. in Any Specialization, B.Sc in Any Specialization","Java Spring Boot, AWS, Azure, Css/Css3, Docker, GCP, Rest Api Development, Bootstrap, HTML"
